1613418394876,POST,131,200
1613418395007,POST,25,200
1613418395032,POST,36,200
1613418395068,POST,38,200
1613418395106,POST,26,200
1613418395132,POST,27,200
1613418395159,POST,23,200
1613418395182,POST,26,200
1613418395208,POST,26,200
1613418395234,POST,26,200
1613418395260,POST,26,200
1613418395286,POST,26,200
1613418395312,POST,26,200
1613418395338,POST,28,200
1613418395366,POST,25,200
1613418395392,POST,26,200
1613418395418,POST,24,200
1613418395442,POST,27,200
1613418395469,POST,25,200
1613418395494,POST,27,200
1613418395521,POST,28,200
1613418395549,POST,24,200
1613418395573,POST,27,200
1613418395600,POST,25,200
1613418395625,POST,28,200
1613418395653,POST,28,200
1613418395681,POST,29,200
1613418395710,POST,22,200
1613418395732,POST,29,200
1613418395761,POST,27,200
1613418395788,POST,25,200
1613418395813,POST,31,200
1613418395844,POST,26,200
1613418395870,POST,26,200
1613418395896,POST,27,200
1613418395923,POST,25,200
1613418395948,POST,27,200
1613418395975,POST,26,200
1613418396001,POST,25,200
1613418396026,POST,27,200
1613418396053,POST,29,200
1613418396082,POST,26,200
1613418396108,POST,27,200
1613418396135,POST,25,200
1613418396160,POST,26,200
1613418396186,POST,22,200
1613418396208,POST,30,200
1613418396238,POST,27,200
1613418396265,POST,27,200
1613418396292,POST,26,200
1613418396318,POST,27,200
1613418396345,POST,29,200
1613418396374,POST,28,200
1613418396402,POST,27,200
1613418396429,POST,28,200
1613418396457,POST,27,200
1613418396484,POST,28,200
1613418396512,POST,30,200
1613418396542,POST,26,200
1613418396568,POST,33,200
1613418396601,POST,32,200
1613418396633,POST,113,200
1613418396746,POST,42,200
1613418396788,POST,122,200
1613418396910,POST,32,200
1613418396942,POST,26,200
1613418396968,POST,200,200
1613418397168,POST,49,200
1613418397217,POST,24,200
1613418397241,POST,34,200
1613418397275,POST,54,200
1613418397329,POST,191,200
1613418397520,POST,42,200
1613418397562,POST,34,200
1613418397596,POST,36,200
1613418397632,POST,38,200
1613418397670,POST,32,200
1613418397702,POST,46,200
1613418397748,POST,47,200
1613418397795,POST,29,200
1613418397824,POST,69,200
1613418397893,POST,28,200
1613418397921,POST,31,200
1613418397952,POST,34,200
1613418397986,POST,32,200
1613418398018,POST,43,200
1613418398061,POST,41,200
1613418398102,POST,32,200
1613418398134,POST,29,200
1613418398163,POST,29,200
1613418398192,POST,32,200
1613418398224,POST,35,200
1613418398259,POST,27,200
1613418398286,POST,31,200
1613418398317,POST,25,200
1613418398342,POST,25,200
1613418398367,POST,37,200
1613418398404,POST,35,200
1613418398439,POST,35,200
1613418398474,POST,26,200
1613418398500,POST,33,200
1613418398533,POST,32,200
1613418398565,POST,30,200
1613418398595,POST,32,200
1613418398627,POST,40,200
1613418398667,POST,38,200
1613418398705,POST,30,200
1613418398735,POST,36,200
1613418398771,POST,31,200
